Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
USDJPY,20180430,4:00,109.134,109.156,109.124,109.138,1114750001
AUDUSD,20180430,5:00,0.75665,0.75722,0.75646,0.75707,2260020000
EURUSD,20180430,5:00,1.21291,1.2138,1.21267,1.21362,6102970000
NZDUSD,20180420,0:00,0.72547,0.72549,0.72458,0.72508,3458110000
NZDUSD,20180420,10:00,0.72506,0.72517,0.72393,0.72494,2637070000
NZDUSD,20180420,20:00,0.72492,0.72504,0.72416,0.7242,2134840000
NZDUSD,20180420,3:00,0.7242,0.7244,0.72393,0.72429,1880490000
NZDUSD,20180420,4:00,0.72429,0.72479,0.72408,0.72418,1439770000
NZDUSD,20180420,5:00,0.72419,0.7242,0.72349,0.72366,3321480000
NZDUSD,20180420,6:00,0.72364,0.7242,0.7234,0.72387,3990260000
NZDUSD,20180420,7:00,0.72387,0.724,0.7228,0.72312,4400780000
NZDUSD,20180420,8:00,0.72312,0.72335,0.7224,0.72275,4063890000
NZDUSD,20180420,9:00,0.72275,0.7229,0.7215,0.72174,4667920000
NZDUSD,20180420,10:00,0.72176,0.72248,0.72146,0.72245,3194250000
NZDUSD,20180420,11:00,0.72245,0.72296,0.72217,0.7223,2898900000
NZDUSD,20180420,12:00,0.72231,0.72283,0.72125,0.72129,5131940000
NZDUSD,20180420,13:00,0.72128,0.72169,0.72007,0.72008,5180210000
NZDUSD,20180420,14:00,0.72008,0.72211,0.72008,0.72209,5703200000
NZDUSD,20180420,15:00,0.72209,0.72241,0.72084,0.72089,4313810000
NZDUSD,20180420,16:00,0.72093,0.72117,0.72034,0.72094,4709900000
NZDUSD,20180420,17:00,0.72093,0.72108,0.72026,0.72057,3311400000
NZDUSD,20180420,18:00,0.72057,0.7207,0.72009,0.72009,2624150000
NZDUSD,20180420,19:00,0.7201,0.72038,0.72006,0.72016,2772620000
NZDUSD,20180420,20:00,0.72016,0.72114,0.72014,0.72075,1432400000
GBPUSD,20180430,5:00,1.37835,1.37922,1.37808,1.37912,2544850000
NZDUSD,20180430,5:00,0.70793,0.70839,0.70785,0.7079,2819770000
USDCHF,20180430,5:00,0.98775,0.98794,0.98725,0.98734,1428080000
USDJPY,20180430,5:00,109.137,109.164,109.129,109.142,1792320000
AUDUSD,20180430,6:00,0.75707,0.75707,0.75577,0.7558,5683530000
EURUSD,20180430,6:00,1.21362,1.21386,1.21238,1.21349,14901580001
GBPUSD,20180430,6:00,1.37913,1.37914,1.37596,1.37619,6798170000
NZDUSD,20180430,6:00,0.7079,0.7079,0.70695,0.70736,4044470000
USDCHF,20180430,6:00,0.98741,0.98818,0.9872,0.98755,5418580000
USDJPY,20180430,6:00,109.143,109.211,109.14,109.197,4923450000
AUDUSD,20180430,7:00,0.75584,0.75595,0.75519,0.75558,5323870000
EURUSD,20180430,7:00,1.21356,1.21372,1.21086,1.21184,13312930000
GBPUSD,20180430,7:00,1.37615,1.37728,1.37475,1.37531,7666940000
NZDUSD,20180430,7:00,0.70735,0.70739,0.70621,0.70654,4715190000
USDCHF,20180430,7:00,0.98753,0.98905,0.98737,0.9885,5808080000
USDJPY,20180430,7:00,109.196,109.262,109.187,109.248,4415450001
AUDUSD,20180430,8:00,0.75558,0.75568,0.75443,0.75455,3924740000
EURUSD,20180430,8:00,1.21184,1.2123,1.21019,1.2104,12011350001
GBPUSD,20180430,8:00,1.37531,1.37659,1.3732,1.37339,5692120000
NZDUSD,20180430,8:00,0.70654,0.70667,0.70515,0.70532,3035180000
USDCHF,20180430,8:00,0.9885,0.9897,0.98818,0.98949,3489990000
USDJPY,20180430,8:00,109.248,109.328,109.241,109.308,3969989997
AUDUSD,20180430,9:00,0.75454,0.75576,0.75452,0.75563,2591550000
EURUSD,20180430,9:00,1.21041,1.21213,1.20981,1.21183,12360969999
GBPUSD,20180401,21:00,1.40224,1.40328,1.40193,1.40273,704780000
GBPUSD,20180401,22:00,1.4027,1.40333,1.40203,1.40329,3268400000
GBPUSD,20180401,23:00,1.40327,1.40379,1.40294,1.40355,2396410000
GBPUSD,20180430,9:00,1.37336,1.37404,1.37268,1.37304,5903830000
NZDUSD,20180430,9:00,0.70531,0.70609,0.70524,0.70601,2615860000
USDCHF,20180430,9:00,0.98949,0.98987,0.98801,0.98819,4154020000
USDJPY,20180430,9:00,109.307,109.326,109.242,109.25,3986890001
AUDUSD,20180430,10:00,0.75759,0.75818,0.75688,0.75745,3595540000
AUDUSD,20180430,10:00,0.75563,0.75565,0.75462,0.75483,3071510000
EURUSD,20180430,10:00,1.21183,1.21183,1.20889,1.20959,12345710000
GBPUSD,20180430,10:00,1.37302,1.3742,1.37125,1.37272,5948660000
NZDUSD,20180430,10:00,0.70868,0.70868,0.70726,0.70787,1833420000
NZDUSD,20180430,10:00,0.70598,0.70599,0.70497,0.70505,3563510000
USDCHF,20180430,10:00,0.98775,0.98827,0.98753,0.98753,1709930000
USDCHF,20180430,10:00,0.98823,0.98995,0.98795,0.98935,4841760000
USDJPY,20180430,10:00,109.073,109.126,109.06,109.088,3092000000
USDJPY,20180430,10:00,109.25,109.305,109.231,109.266,3933770000
AUDUSD,20180430,11:00,0.75481,0.75504,0.75376,0.75426,3667540000
EURUSD,20180430,11:00,1.20959,1.20962,1.20731,1.20772,13050820002
GBPUSD,20180430,11:00,1.37272,1.3733,1.37188,1.3729,6245000001
NZDUSD,20180430,11:00,0.70505,0.70516,0.70401,0.70434,2742830000
USDCHF,20180430,11:00,0.98935,0.99141,0.98935,0.99117,4286310000
USDJPY,20180430,11:00,109.268,109.407,109.264,109.368,3882890000
AUDUSD,20180430,12:00,0.75425,0.75475,0.75399,0.75458,4999180000
EURUSD,20180430,12:00,1.2077,1.20896,1.20722,1.20872,14196780001
GBPUSD,20180430,12:00,1.37288,1.37499,1.37239,1.37456,6592560000
GBPUSD,20180420,0:00,1.40838,1.40873,1.40757,1.40857,2281390000
GBPUSD,20180420,10:00,1.40858,1.40859,1.40717,1.40823,2389229996
GBPUSD,20180420,20:00,1.40823,1.40854,1.4075,1.40752,2066520000
GBPUSD,20180420,3:00,1.40754,1.40795,1.40729,1.40793,2098900000
GBPUSD,20180420,4:00,1.40793,1.40821,1.40772,1.40784,1843449999
GBPUSD,20180420,5:00,1.40784,1.40797,1.40649,1.40674,3605360001
GBPUSD,20180420,6:00,1.40673,1.40706,1.40449,1.40637,8938640000
GBPUSD,20180420,7:00,1.40636,1.40659,1.40351,1.40425,10858910000
GBPUSD,20180420,8:00,1.40431,1.40663,1.40401,1.40658,9049450000
GBPUSD,20180420,9:00,1.40655,1.40676,1.40417,1.40659,8544070000
GBPUSD,20180420,10:00,1.40659,1.40818,1.40552,1.40722,6567800000
GBPUSD,20180420,11:00,1.40722,1.40779,1.4043,1.40461,7127660000
GBPUSD,20180420,12:00,1.40462,1.40621,1.40338,1.40381,8929060000
GBPUSD,20180420,13:00,1.40379,1.40431,1.40078,1.40091,8341240000
GBPUSD,20180420,14:00,1.40091,1.40396,1.40068,1.40242,11446680000
GBPUSD,20180420,15:00,1.40241,1.40366,1.40193,1.40313,9591160000
GBPUSD,20180420,16:00,1.40313,1.40435,1.40273,1.4037,7321680000
GBPUSD,20180420,17:00,1.40371,1.40381,1.40211,1.40329,4100970000
GBPUSD,20180420,18:00,1.40329,1.40365,1.40221,1.40225,2744700000
GBPUSD,20180420,19:00,1.40229,1.40244,1.401,1.40113,4267720000
GBPUSD,20180420,20:00,1.40112,1.40198,1.39965,1.40002,4554880000
NZDUSD,20180430,12:00,0.70434,0.70509,0.70416,0.705,4987260000
USDCHF,20180430,12:00,0.99121,0.99139,0.99027,0.99066,5616350000
USDJPY,20180430,12:00,109.37,109.429,109.297,109.321,5310640000
AUDUSD,20180430,13:00,0.75456,0.75473,0.75355,0.75387,3800990000
EURUSD,20180430,13:00,1.20872,1.20899,1.20671,1.20715,13789779998
GBPUSD,20180430,13:00,1.37453,1.37504,1.37305,1.37412,7785820000
NZDUSD,20180430,13:00,0.70499,0.70516,0.70351,0.7037,3787330000
USDCHF,20180430,13:00,0.99068,0.99207,0.99039,0.99157,5658670000
USDJPY,20180430,13:00,109.321,109.415,109.284,109.37,5551330000
AUDUSD,20180430,14:00,0.75391,0.75493,0.75364,0.75476,5831550000
EURUSD,20180430,14:00,1.20713,1.20881,1.20683,1.20815,17974799999
GBPUSD,20180430,14:00,1.37411,1.37859,1.37352,1.37748,10752940000
NZDUSD,20180430,14:00,0.7037,0.70496,0.70368,0.70442,5789570000
USDCHF,20180430,14:00,0.99159,0.99198,0.98983,0.98984,10013510000
USDJPY,20180430,14:00,109.37,109.452,109.299,109.431,7438580003
AUDUSD,20180430,15:00,0.75476,0.75496,0.75347,0.75427,5520540000
EURUSD,20180430,15:00,1.20815,1.20871,1.20643,1.20737,15014119998
GBPUSD,20180430,15:00,1.37748,1.37767,1.37476,1.37497,9229110000
NZDUSD,20180430,15:00,0.70443,0.70496,0.70361,0.70418,4334800000
USDCHF,20180430,15:00,0.98984,0.99162,0.98915,0.99105,7471220000
USDJPY,20180430,15:00,109.431,109.44,109.246,109.286,7256780001
NZDUSD,20180430,16:00,0.70417,0.70532,0.70411,0.70511,4711000000
EURUSD,20180401,21:00,1.23199,1.2323,1.23165,1.23204,469600000
EURUSD,20180401,22:00,1.23204,1.23217,1.23132,1.23172,4095050000
EURUSD,20180401,23:00,1.23172,1.23206,1.23124,1.23125,3291760001
