<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20180420,3:00,107.656,107.672,107.58,107.615,3665200002
USDJPY,20180420,4:00,107.616,107.685,107.616,107.647,2921589999
USDJPY,20180420,5:00,107.647,107.672,107.605,107.634,4717870001
USDJPY,20180420,6:00,107.63,107.632,107.486,107.506,6662910000
USDJPY,20180420,7:00,107.507,107.578,107.479,107.555,6147710001
USDJPY,20180420,8:00,107.554,107.616,107.535,107.616,3923370000
USDJPY,20180420,9:00,107.616,107.686,107.601,107.66,4651240001
USDJPY,20180420,10:00,107.661,107.711,107.634,107.636,4494910000
USDJPY,20180420,11:00,107.636,107.655,107.574,107.62,4128920000
USDJPY,20180420,12:00,107.62,107.702,107.551,107.693,5744250000
USDJPY,20180420,13:00,107.695,107.798,107.663,107.791,8975020000
USDJPY,20180420,14:00,107.79,107.855,107.691,107.698,8726400000
USDJPY,20180420,15:00,107.698,107.711,107.565,107.614,9373630000
USDJPY,20180420,16:00,107.615,107.646,107.51,107.511,7216589999
USDJPY,20180420,17:00,107.512,107.604,107.506,107.578,4924799999
USDJPY,20180420,18:00,107.578,107.604,107.556,107.59,4137020000
USDJPY,20180420,19:00,107.588,107.645,107.555,107.645,3536430001
USDJPY,20180420,20:00,107.645,107.666,107.582,107.632,2484570000
USDJPY,20180422,21:00,107.765,107.818,107.736,107.764,1885520000
USDJPY,20180422,22:00,107.764,107.804,107.659,107.78,5462890000
USDJPY,20180422,23:00,107.779,107.887,107.75,107.88,3409629999
USDJPY,20180423,0:0,107.877,107.878,107.731,107.818,6341880000
USDJPY,20180423,10:00,107.818,107.883,107.777,107.791,5072020000
USDJPY,20180423,20:00,107.79,107.815,107.738,107.813,3882570000
USDJPY,20180423,3:00,107.813,107.844,107.803,107.807,3051680000
USDJPY,20180423,4:00,107.808,107.835,107.784,107.806,2904650000
USDJPY,20180423,5:00,107.805,107.832,107.766,107.801,3437580000
USDJPY,20180423,6:00,107.803,107.876,107.788,107.842,5236430000
USDJPY,20180423,7:00,107.841,107.939,107.82,107.913,7845569999
USDJPY,20180423,8:00,107.912,108.01,107.859,107.999,6877850001
USDJPY,20180423,9:00,108,108.255,107.997,108.199,5315680001
